127.0.0.1 - - [05/Jun/2019:10:12:36 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:12:38 +0900] "GET /dev_html/html_day1/basicEl.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:12:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:13:06 +0900] "GET /dev_html/index.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:22:12 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:41:22 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:41:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:50:13 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:52:03 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:52:05 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:52:06 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:08 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:09 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:10 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:37 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:53:41 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:55:14 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [05/Jun/2019:10:55:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:03:49 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:03:49 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:05:40 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:05:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:06:15 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:06:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:10 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:29 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:30 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:30 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:31 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:07:50 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:07 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:07 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:08 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:14 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:14 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2019:11:08:15 +0900] "GET /dev_html/html_day2/innerHTMLTest.html HTTP/1.1" 304 -
