0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:38:03 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:38:06 +0900] "GET /ajax/pizza/breaknek.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:38:20 +0900] "GET /ajax/pizza/orderConfirm.jsp?mem_name=%ED%99%8D%EA%B8%B8%EB%8F%99&mem_tel=025559999&paper=%EC%BD%A4%EB%B9%84%EB%84%A4%EC%9D%B4%EC%85%98&mem_addr=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EB%A7%88%ED%8F%AC%EA%B5%AC+%EA%B3%B5%EB%8D%95%EB%8F%99 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:39:13 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:39:19 +0900] "GET /ajax/pizza/breaknek.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:39:50 +0900] "GET /ajax/pizza/orderConfirm.jsp?mem_name=%ED%99%8D%EA%B8%B8%EB%8F%99&mem_tel=025559999&paper=%EB%8B%A8%ED%98%B8%EB%B0%95%ED%94%BC%EC%9E%90&mem_addr=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EB%A7%88%ED%8F%AC%EA%B5%AC+%EA%B3%B5%EB%8D%95%EB%8F%99 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [04/Jul/2019:12:13:10 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:12:13:10 +0900] "GET /ajax/pizza/breakneck-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:12:13:27 +0900] "GET /ajax/pizza/breaknek.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:12:13:34 +0900] "GET /ajax/pizza/orderConfirm.jsp?mem_name=%ED%99%8D%EA%B8%B8%EB%8F%99&mem_tel=025559999&paper=%EB%8B%A8%ED%98%B8%EB%B0%95%ED%94%BC%EC%9E%90&mem_addr=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EB%A7%88%ED%8F%AC%EA%B5%AC+%EA%B3%B5%EB%8D%95%EB%8F%99 HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [04/Jul/2019:12:14:09 +0900] "GET /ajax/pizza/breaknek.jsp HTTP/1.1" 200 274
